step,epoch,train_loss,learning_rate,grad_norm,eval_loss,perplexity
1,0.025518341307814992,2.0587291717529297,0.0,3.242525815963745,,
5,0.12759170653907495,2.0245871543884277,4.000000000000001e-06,4.332784652709961,,
10,0.2551834130781499,1.9231021881103516,9e-06,3.4930312633514404,,
15,0.3827751196172249,1.9273694992065429,1.4000000000000001e-05,3.1775729656219482,,
20,0.5103668261562998,1.8741294860839843,1.9e-05,2.7312490940093994,,
25,0.6379585326953748,1.5357415199279785,2.4e-05,2.5913100242614746,1.305465817451477,3.6894073486328125
30,0.7655502392344498,1.2790751457214355,2.9e-05,2.9579596519470215,,
35,0.8931419457735247,0.9243759155273438,3.4000000000000007e-05,2.1638331413269043,,
40,1.0,0.7065562725067138,3.9000000000000006e-05,2.2558882236480713,,
45,1.127591706539075,0.5985405921936036,4.4000000000000006e-05,0.8428182601928711,,
50,1.2551834130781498,0.5768050193786621,4.9e-05,0.8603972792625427,0.539575457572937,1.7152785062789917
55,1.3827751196172249,0.6412499904632568,4.959823971496574e-05,0.7939929962158203,,
60,1.5103668261562997,0.471805477142334,4.7988194313786275e-05,1.2001268863677979,,
65,1.6379585326953747,0.6778080940246582,4.522542485937369e-05,0.8445611596107483,,
70,1.7655502392344498,0.553238821029663,4.144846814849282e-05,1.0210884809494019,,
75,1.8931419457735248,0.5146896362304687,3.6846716561824965e-05,0.8161879181861877,0.4933309853076935,1.6377625465393066
80,2.0,0.5348812103271484,3.165092113916688e-05,1.835547924041748,,
85,2.127591706539075,0.43504014015197756,2.6121620758762877e-05,0.7475512623786926,,
90,2.25518341307815,0.43274478912353515,2.0536077630034086e-05,0.7043776512145996,,
95,2.382775119617225,0.47559418678283694,1.5174374208651912e-05,0.8459644317626953,,
100,2.5103668261562997,0.48562121391296387,1.0305368692688174e-05,1.0520039796829224,0.4855270981788635,1.6250313520431519
105,2.6379585326953747,0.4712332248687744,6.173213349909729e-06,0.9034735560417175,,
110,2.7655502392344498,0.4877320766448975,2.98511170358155e-06,0.7289503216743469,,
115,2.893141945773525,0.45546350479125974,9.009284826036691e-07,0.7125568389892578,,
120,3.0,0.47133641242980956,2.5173336467135267e-08,1.8457237482070923,0.48457854986190796,1.6234906911849976
