step,epoch,train_loss,learning_rate,grad_norm,eval_loss,perplexity
1,0.025518341307814992,2.0587291717529297,0.0,8.991217613220215,,
5,0.12759170653907495,2.002371072769165,4.000000000000001e-06,11.448819160461426,,
10,0.2551834130781499,1.777737808227539,9e-06,8.48163890838623,,
15,0.3827751196172249,1.6729366302490234,1.4000000000000001e-05,7.414713382720947,,
20,0.5103668261562998,1.374087142944336,1.9e-05,4.685311317443848,,
25,0.6379585326953748,0.9235028266906739,2.4e-05,3.3060033321380615,0.6417029500007629,1.8997132778167725
30,0.7655502392344498,0.6737035274505615,2.9e-05,2.5186924934387207,,
35,0.8931419457735247,0.539106798171997,3.4000000000000007e-05,1.9694262742996216,,
40,1.0,0.5218621730804444,3.9000000000000006e-05,2.166698455810547,,
45,1.127591706539075,0.5053361415863037,4.4000000000000006e-05,1.384019136428833,,
50,1.2551834130781498,0.4559842586517334,4.9e-05,1.2038975954055786,0.49063047766685486,1.6333457231521606
55,1.3827751196172249,0.5213038444519043,4.959823971496574e-05,1.3371484279632568,,
60,1.5103668261562997,0.4003582000732422,4.7988194313786275e-05,1.6378651857376099,,
65,1.6379585326953747,0.5961584568023681,4.522542485937369e-05,1.5177099704742432,,
70,1.7655502392344498,0.4676333427429199,4.144846814849282e-05,1.828950047492981,,
75,1.8931419457735248,0.4397562503814697,3.6846716561824965e-05,1.5049285888671875,0.4830569326877594,1.6210222244262695
80,2.0,0.4599247932434082,3.165092113916688e-05,3.901172637939453,,
85,2.127591706539075,0.31552064418792725,2.6121620758762877e-05,1.135689377784729,,
90,2.25518341307815,0.32308549880981446,2.0536077630034086e-05,1.1622031927108765,,
95,2.382775119617225,0.3408222198486328,1.5174374208651912e-05,1.4637811183929443,,
100,2.5103668261562997,0.3338692426681519,1.0305368692688174e-05,1.6764097213745117,0.4900299906730652,1.6323652267456055
105,2.6379585326953747,0.32246215343475343,6.173213349909729e-06,1.5746594667434692,,
110,2.7655502392344498,0.3442634105682373,2.98511170358155e-06,1.068076491355896,,
115,2.893141945773525,0.29836962223052976,9.009284826036691e-07,1.2124087810516357,,
120,3.0,0.3131214141845703,2.5173336467135267e-08,3.1512362957000732,0.49057307839393616,1.6332519054412842
